BlkNumber;BlkRoute;BlkVehType;TrpNumber;TrpType;TrpRoute;TrpVia;TrpDirection;TrpStartPlace;TrpEndPlace;TrpStartTime;TrpEndTime;TrpDistance;TrpDuration;TrpEndLay;TrpExtraLay
08-janv;T3;;6166;REG;T3;2;DIR2;HANT_d;CASPOR;11:24:00;12:08:54;13.470;00:44:54;00:00:00;00:00:00
11-janv;T3;;6163;REG;T3;2;DIR2;HANT_d;CASPOR;10:12:00;10:56:54;13.470;00:44:54;00:00:00;00:00:00
12-janv;T3;;6161;REG;T3;2;DIR2;HANT_d;CASPOR;09:24:00;10:08:54;13.470;00:44:54;00:00:00;00:00:00
11-janv;T3;;6171;REG;T3;2;DIR2;HANT_d;CASPOR;13:24:00;14:08:54;13.470;00:44:54;00:00:00;00:00:00
04-janv;T3;;6170;REG;T3;2;DIR2;HANT_d;CASPOR;13:00:00;13:44:54;13.470;00:44:54;00:00:00;00:00:00
11-janv;T3;;7049;REG;T3;1;DIR1;CASPOR;HANT_a;09:18:00;10:02:54;13.470;00:44:54;00:00:00;00:00:00
06-janv;T3;;6160;REG;T3;2;DIR2;HANT_d;CASPOR;09:00:00;09:44:54;13.470;00:44:54;00:00:00;00:00:00
07-janv;T3;;6165;REG;T3;2;DIR2;HANT_d;CASPOR;11:00:00;11:44:54;13.470;00:44:54;00:00:00;00:00:00
12-janv;T3;;6169;REG;T3;2;DIR2;HANT_d;CASPOR;12:36:00;13:20:54;13.470;00:44:54;00:00:00;00:00:00
02-janv;T3;;6235;REG;T3;2;DIR2;CIDJ_d;CASPOR;18:33:31;19:04:54;9.007;00:31:23;00:00:00;00:00:00
06-janv;T3;;6168;REG;T3;2;DIR2;HANT_d;CASPOR;12:12:00;12:56:54;13.470;00:44:54;00:00:00;00:00:00
02-janv;T3;;6239;REG;T3;2;DIR2;CIDJ_d;CASPOR;19:49:31;20:20:54;9.007;00:31:23;00:00:00;00:00:00
07-janv;T3;;6173;REG;T3;2;DIR2;HANT_d;CASPOR;14:12:00;14:56:54;13.470;00:44:54;00:00:00;00:00:00
02-janv;T3;;6164;REG;T3;2;DIR2;HANT_d;CASPOR;10:36:00;11:20:54;13.470;00:44:54;00:00:00;00:00:00
09-janv;T3;;6512;REG;T3;2;DIR2;HANT_d;CASPOR;06:36:00;07:20:54;13.470;00:44:54;00:00:00;00:00:00
03-janv;T3;;6154;REG;T3;2;DIR2;HANT_d;CASPOR;06:52:00;07:36:54;13.470;00:44:54;00:00:00;00:00:00
05-janv;T3;;86;REG;T3;2;DIR2;HANT_d;CASPOR;05:30:00;06:14:54;13.470;00:44:54;00:00:00;00:00:00
01-janv;T3;;4715;DH;T3;o_2;DIR2;HANT_d;CASPOR;04:51:00;05:24:37;12.712;00:33:37;00:00:00;00:00:00
01-janv;T3;;6153;REG;T3;2;DIR2;HANT_d;CASPOR;06:28:00;07:12:54;13.470;00:44:54;00:00:00;00:00:00
12-janv;T3;;6231;REG;T3;2;DIR2;CIDJ_d;CASPOR;17:29:31;18:00:54;9.007;00:31:23;00:00:00;00:00:00
04-janv;T3;;7238;REG;T3;2;DIR2;HANT_d;CASPOR;16:12:00;16:56:54;13.470;00:44:54;00:00:00;00:00:00
12-janv;T3;;7047;REG;T3;1;DIR1;CASPOR;HANT_a;08:31:00;09:15:54;13.470;00:44:54;00:00:00;00:00:00
03-janv;T3;;7044;REG;T3;1;DIR1;CASPOR;HANT_a;07:43:00;08:27:54;13.470;00:44:54;00:00:00;00:00:00
02-janv;T3;;4714;DH;T3;o_2;DIR2;HANT_d;CASPOR;05:04:00;05:37:37;12.712;00:33:37;00:00:00;00:00:00
07-janv;T3;;87;REG;T3;2;DIR2;HANT_d;CASPOR;06:00:00;06:44:54;13.470;00:44:54;00:00:00;00:00:00
06-janv;T3;;1421;REG;T3;2;DIR2;HANT_d;CASPOR;05:45:00;06:29:54;13.470;00:44:54;00:00:00;00:00:00
02-janv;T3;;4713;REG;T3;2;DIR2;CIDJ_d;CASPOR;06:25:31;06:56:54;9.007;00:31:23;00:00:00;00:00:00
04-janv;T3;;6200;REG;T3;2;DIR2;CIDJ_d;CASPOR;06:57:31;07:28:54;9.007;00:31:23;00:00:00;00:00:00
03-janv;T3;;6228;REG;T3;2;DIR2;CIDJ_d;CASPOR;16:41:31;17:12:54;9.007;00:31:23;00:00:00;00:00:00
05-févr;T3;;6232;REG;T3;2;DIR2;CIDJ_d;CASPOR;17:45:31;18:16:54;9.007;00:31:23;00:00:00;00:00:00
06-janv;T3;;6236;REG;T3;2;DIR2;CIDJ_d;CASPOR;18:49:31;19:20:54;9.007;00:31:23;00:00:00;00:00:00
07-janv;T3;;6206;REG;T3;2;DIR2;CIDJ_d;CASPOR;09:25:31;09:56:54;9.007;00:31:23;00:00:00;00:00:00
08-janv;T3;;6207;REG;T3;2;DIR2;CIDJ_d;CASPOR;09:49:31;10:20:54;9.007;00:31:23;00:00:00;00:00:00
03-janv;T3;;6208;REG;T3;2;DIR2;CIDJ_d;CASPOR;10:13:31;10:44:54;9.007;00:31:23;00:00:00;00:00:00
06-janv;T3;;6209;REG;T3;2;DIR2;CIDJ_d;CASPOR;10:37:31;11:08:54;9.007;00:31:23;00:00:00;00:00:00
12-janv;T3;;6210;REG;T3;2;DIR2;CIDJ_d;CASPOR;11:01:31;11:32:54;9.007;00:31:23;00:00:00;00:00:00
